chunk_id,label,text
1,positive,"unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 1 wednesday, 20 may 2026 ____ proceedings of mini-plenary session good hope chamber ____ members of the mini-plenary session met at good hope chamber at 10:00. the house chairperson, mr c t frolick, took the chair and requested members to observe a moment of silence for prayer or meditation. appropriation bill debate on vote no 23 defence, including vote 26 military veterans: the minister of defence and military veterans: chairperson, the deputy ministers of defence and military veterans, chairpersons and members of the portfolio committee on defence and military veterans, and the joint standing committee on defence, hon members. let me also welcome our newly appointed unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 2 secretary for defence, mr mthimkulu, acknowledge the chief of the national defence force and the acting director-general of the dmv, chairpersons and executive officers of our state owned enterprises, soes, and distinguished guests. hon members, it is important for us to remind ourselves of our core business of the defence establishment and its importance, because the defence establishment is mandated by the constitution of the republic to defend and protect the republic, its people, safeguard south africa s sovereignty and constitutional order. the department of defence is located in the medium-term development plan, mtdp, which continues to guide the focus of the seventh administration. so, budget vote 23 is aligned with the adjusted department of defence strategic plan and the annual performance plan for the 2026-27 medium term expenditure framework, mtef. the minister of defence is also guided by the new performance agreement with the president, outlining priority commitments aligned to"
2,neutral,"the seventh administration. so, budget vote 23 is aligned with the adjusted department of defence strategic plan and the annual performance plan for the 2026-27 medium term expenditure framework, mtef. the minister of defence is also guided by the new performance agreement with the president, outlining priority commitments aligned to the mtdp. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 3 members, the department of defence has received a total budget allocation of r57,6 billion. this budget has been allocated as follows: r37,7 billion goes to compensation of employees, r2,5 billion to the sa army, r2,7 billion to the sa airforce, r1,9 billion the sa navy, r1,5 billion to the military services, r4,5 billion to the logistics division and r1,5 billion to joint operations. also included in the budget allocation of r57 billion are the following earmarked allocations and transfer payments: r557 million is earmarked for border safeguard and technology, r427 million is earmarked for the air force to maintain the fighter capability, r6,7 million is earmarked for the navy to repair and maintain the platforms, r80 million is earmarked to provide uniforms for our military members, r1,5 billion will be transferred to armaments corporation of south africa armscor, r76 million will also be transferred to the ombuds, r4 million will be transferred to the castle control board. but furthermore, members, r150 million has also been allocated to the sa national defence force, sandf, to support the upcoming local government elections. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 4 members, south africa is a democratic state, a regional economic powerhouse and a technology hub on the continent of africa. we are also a"
3,neutral,"upcoming local government elections. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 4 members, south africa is a democratic state, a regional economic powerhouse and a technology hub on the continent of africa. we are also a maritime and trading nation. we are thus affected by and must respond to global economic and security dynamics prevalent across the world, whilst also focussing on our own homeland security. the cape sea route, as a shipping route, has assumed global significance as the route to transport economic goods between nations of the world. increasingly, maritime traffic along the cape route heightens both security and economic risks, underscores the need to be comprehensive in terms of national maritime security strategy. in addition to the navy s primary function, are to safeguard maritime sovereignty, it also must support civil authorities in maintaining the safety of vital maritime trade routes. so, south africa s maritime geography makes this non-negotiable, and therefore, making our navy ... ... strategic area ... unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 5 the house chairperson mr c t frolick : hon minister, let me just ... will you just give an opportunity to hear what the hon reddy has to say. why are you rising, hon member? mr v g reddy: hon house chair, i rise in terms of rule 83. which reads, a member must as far as possible refrain from reading his ... the house chairperson mr c t frolick : hon member, you re your seat! please take your seat! mr v g reddy: no, no. this is serious because we need to hear clearly ... the house chairperson mr"
4,neutral,"a member must as far as possible refrain from reading his ... the house chairperson mr c t frolick : hon member, you re your seat! please take your seat! mr v g reddy: no, no. this is serious because we need to hear clearly ... the house chairperson mr c t frolick : take your seat! i rule against you, take your seat! mr v g reddy: you re not being ... the house chairperson mr c t frolick : take your seat! if you don t want to accept my ruling, you may leave the chamber. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 6 please continue, hon minister! the minister of defence and military veterans: chair, in addition to the navy s primary function to safeguard maritime sovereignty, it must also support civil authorities in maintaining the safety of vital maritime trade routes. the navy is therefore a strategic necessity of our time. to neglect our national maritime capability would risk strategic self-harm and global irrelevance. but to maintain balance and consolidate our resources, government has made two policy adjustments: firstly, to withdraw from regional support operation; and secondly, to pay more attention to domestic operations. in addition to the allocated budget, government has announced an amount of r823 million to enable the sa national defence force to support sa police services, saps. at the core of the defence dilemma lies a fundamental and persistent misalignment between mandate, expectations and funding. and this is a strategic national concern requiring a unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 7 structured compact between strategic intent and fiscal planning sustained over multiple planning"
5,negative,"persistent misalignment between mandate, expectations and funding. and this is a strategic national concern requiring a unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 7 structured compact between strategic intent and fiscal planning sustained over multiple planning cycles. so, the strategic work has already been undertaken within government to restore coherence to defence planning and the department has completed a series of strategic documents. together, these represent work to reconnect defence policy, military strategy, force design, force structure and long-term capability planning to a feasible future pathway. an interim force concept was developed against a defence funding level of 1,5 . consequently, a long-term force evaluation strategy on defence planning was approved by cabinet on 6 may and it is awaiting parliamentary processes. regarding the ongoing natural disasters such as floods, i can confirm, chair, that we are working with the department of co-operative governance and traditional affairs to provide a coherent programme which we will share with the portfolio committee and cabinet. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 8 hon members, regarding border safeguarding, porous borders do not only compromise the territorial integrity of the state, but it lays a fertile ground for the emergence of several other national security threats including threats to the economic wellbeing of the republic as well as the discord between the citizens and foreign nationals. this also goes beyond the region but the continent and beyond. such action has to be taken into consideration and something done, to ensure safe and legal movement of people in our country. border safeguarding is a very complex activity which demands a multipronged response because it has to respond"
6,neutral,"this also goes beyond the region but the continent and beyond. such action has to be taken into consideration and something done, to ensure safe and legal movement of people in our country. border safeguarding is a very complex activity which demands a multipronged response because it has to respond to criminal value chains, cross-border syndicates, illicit flows, unauthorised movement, trafficking, logistical staging areas and the blending of local and international threats. the sa national defence force, in partnership with saps and border management, has not merely apprehended individuals or smugglers, it has disrupted transnational criminal value chains, recovered stolen vehicles, contraband and contributed to the denial of economic resources to organised syndicates. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 9 with an intelligence-led safeguarding, supported by sensors, radar and unmanned aerial vehicles, uavs, allows movement away from traditional patrolling towards targeted and responsive action. and these are very important to show that where limited resources are used well, much is being achieved. but we must also admit, chair, that we have lots of challenges in the department. our ageing and unserviceable fleet of patrol and support vehicles constrains the mobility and endurance. we also have challenges with our infrastructure shortfalls, which remain acute. the sa air force provides essential support not only to the border area safeguarding, but also to disaster aid and relief, search and rescue, reconnaissance and rapid deployment. helicopter numbers and serviceability are inadequate as we speak - to sustain rapid response across domestic and national security tasks. radar and air traffic control infrastructure also need more resourcing and upgrading. i can also refer to the dockyard, that we have challenges which have reached a critical point. essential equipment and unrevised hansard"
7,neutral,"are inadequate as we speak - to sustain rapid response across domestic and national security tasks. radar and air traffic control infrastructure also need more resourcing and upgrading. i can also refer to the dockyard, that we have challenges which have reached a critical point. essential equipment and unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 10 port infrastructure continue to deteriorate and need to be repaired or replaced. in this regard, the sa navy, sa air force and armscor are hard at work to remedy this. but despite all these challenges, we have recorded some successes. the sas amatola has just completed a long-range deployment to india and participated in exercise milan 2026. the acquisition of three multi-mission inshore patrol vessels has enabled coastal patrol activity. multilateral anti-piracy skills have also been exercised and developed. so, the subsequent port call in shanghai marked a notable diplomatic milestone. we need to also state that these kinds of exercises are an integral part of furtherance of our defence military diplomacy across the world, wherein we have memoranda of understanding across the globe, including multilateral bodies and in furtherance of defence diplomacy. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 11 chair, we want to announce that we will be hosting the biennial african aerospace and defence, aad, 2026 from 16 to 20 september this year. this is a prime exhibition which showcases south africa s defence industry and partner nations. of importance during this event is also the programme which brings young people from across the country to expose them to careers in the aerospace and defence environment. hon members, the department carries a personnel"
8,negative,"this is a prime exhibition which showcases south africa s defence industry and partner nations. of importance during this event is also the programme which brings young people from across the country to expose them to careers in the aerospace and defence environment. hon members, the department carries a personnel structure that the budget does not sufficiently fund. numerous engagements are taking place with national treasury to find a solution to this funding conundrum. but as part of its rejuvenation strategy, the department will pursue a gradual increase in the number of military skills development systems recruits within the funding limitations of the budget constraints. in line with the reconstruction and development, rdp, act of 1996, which advocates for the establishment of a national youth service, the sandf has been identified as a lead partner in the war on youth unemployment with other government unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 12 departments and private sector, through the sa national service institute, sansi. hon members, the department has accepted the ministerial priority of putting the soldier first, which includes ensuring soldiers are properly equipped with uniforms, boots, protective gear and habitable facilities catering for the needs of all, including women soldiers and persons with disabilities. we have selected models which will receive priority upgrades to ensure that the safety and security, there are well maintained bases for sports and recreation. hon members, furthermore, the recovery of the sa military health service is a national security issue. a force without a robust health support, a functional primary military hospital and a sustainable medical support chain is a force whose personnel resilience is degraded. and again, i can confirm, chair, that a lot is been done in that"
9,neutral,"the sa military health service is a national security issue. a force without a robust health support, a functional primary military hospital and a sustainable medical support chain is a force whose personnel resilience is degraded. and again, i can confirm, chair, that a lot is been done in that area. i hope we ll find time also to report to cabinet, to parliament and the respective committee on the work that is taking place in that area. unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 13 in respect of the army foundation, chair, which is already in the paper. the fraud case whereby the foundation resources were reported to have been stolen, i ve been receiving reports and we can assure the house that the necessary legal and administrative steps are being followed, and we will keep the committee informed. the current legacy defence information and communication technology, ict, management systems are very old and need urgent attention. so, the department of defence is undertaking a comprehensive digital transformation. again, chair, on our repositioning and economic growth, we are looking at hosting the industry lekgotla on 20 to 27 july 2026, will bring together the relevant actors to stabilise the sector. on the other hand, in the light of changes to the defence environment, the validation of armscor s draft new value proposal will happen at this lekgotla. on the other hand, again, chair, denel board has been appointed and its leadership team will create a stable unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 14 executive structure to drive the entity forward. the sustainability of denel as south africa s strategic sovereign"
10,neutral,"has been appointed and its leadership team will create a stable unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 14 executive structure to drive the entity forward. the sustainability of denel as south africa s strategic sovereign defence industrial capability remains directly linked to the operational readiness and sustainment requirements of the sa national defence force. chair, on the issue of military veterans, the department of military veterans remains one of our most important institutions meant to fulfil and manage the needs of military veterans, especially those who sacrificed their lives for our country s freedom. its vision and mission are to provide for a dignified and self-sufficient military veterans community and build a better and brighter future for military veterans. these provisions draw from the constitutional principles, particularly the bill of rights, which affirms human dignity, equality, social justice and the progressive realisation of socioeconomic rights. the budget allocation for the department of military veterans is r912 million and it is allocated as follows: r158 million has been allocated to cost of employees, r566 million to socioeconomic benefits, which include healthcare, military unrevised hansard mini plenary - national assembly wednesday, 20 may 2026 vote no 23 26 - defence and military veterans page: 15 veterans pension, housing, compensation for injuries and education, and r188 million for administration. so, whilst we appreciate the allocation, we wish to indicate that there are areas of improvement which can ensure that our work is more efficient and we wish to highlight, as indicated in our submitted annual performance plan, app, the department ... we wish to indicate as we have done in our annual performance and i want to just list a few of these risks: that we are still"
